0,1,1
1,1,0
2,1,0
3,1,1
4,0,0
5,0,0
6,1,1
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,0,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0,1
19,0,1
20,0,0
21,0,0
22,0,0
23,1,0
24,0,0
25,1,0
26,0,0
27,0,0
28,0,0
29,1,1
30,1,0
31,0,0
32,1,0
33,0,1
34,1,1
35,1,1
36,1,1
37,1,0
38,0,0
39,0,1
40,1,1
41,1,1
42,0,0
43,1,1
44,0,0
45,1,1
46,0,1
47,0,0
48,0,0
49,0,0
50,0,1
51,0,0
52,0,0
53,0,0
54,0,0
55,1,1
56,1,1
57,0,1
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,1,1
65,0,0
66,1,1
67,1,1
68,1,1
69,0,1
70,1,1
71,1,1
72,1,1
73,1,1
74,0,0
75,1,1
76,0,1
77,1,1
78,1,0
79,1,1
80,0,0
81,0,0
82,1,0
83,0,0
84,0,0
85,1,1
86,1,0
87,0,0
88,0,0
89,0,0
90,1,1
91,0,0
92,1,1
93,0,0
94,1,1
95,1,1
96,0,0
97,1,1
98,0,0
99,1,0
100,0,0
101,1,1
102,0,0
103,1,1
104,0,0
105,0,0
106,1,1
107,1,0
108,1,1
109,0,0
110,0,1
111,0,0
112,0,1
113,0,0
114,0,0
115,0,0
116,1,1
117,0,0
118,1,1
119,1,1
120,0,1
121,0,1
122,1,1
123,0,1
124,0,0
125,0,0
126,1,1
127,0,0
